Timestamp,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,,,,,,,,,,
,1,1,3,3,3,5,Description III,,,,,,,,,
,1,1,2,3,4,5,Description IV,,,,,,,,,
,3,1,2,3,4,5,Description IV,,,,,,,,,
sc5,2,1,3,3,3,4,Description VI,,,,,,,,,
,1,1,4,3,4,5,Description III,,,,,,,,,
,5,3,4,4,4,5,Description II;Should only let them know the database and results are enought,,,,,,,,,
,1,1,3,2,3,5,Description V,,,,,,,,,
,4,3,5,5,5,5,Description II,,,,,,,,,
,4,2,3,3,4,5,Description VI,,,,,,,,,
,2,1,3,3,4,5,I would use description IV plus the information that we are only looking for the top 10 topics (parameter),,,,,,,,,
,2,1,3,3,3,4,Description VI,,,,,,,,,
,1,1,2,2,2,3,Description VI,,,,,,,,,
,1,1,4,3,4,5,Description IV,,,,,,,,,
,1,1,3,3,4,5,Description IV,,,,,,,,,
,3,1,4,3,4,5,Description IV,,,,,,,,,
sc6,1,1,2,3,4,5,Description V,,,,,,,,,
,1,1,3,2,3,5,Description V,,,,,,,,,
,1,1,2,2,3,3,Description V;Description VI,,,,,,,,,
,1,1,2,2,4,4,Description V,,,,,,,,,
,1,1,2,2,2,3,Description VI,,,,,,,,,
,4,2,3,3,4,5,Description VI,,,,,,,,,
,2,1,3,3,4,5,Description VI,,,,,,,,,
,2,1,3,2,4,5,Description V,,,,,,,,,
,1,1,1,1,2,3,Description VI,,,,,,,,,
,1,1,2,2,3,3,Description VI,,,,,,,,,
,3,1,4,3,4,5,Description IV,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
median,2,1,3,3,4,5,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Box and whiskers chart for all scenarios,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Overall detail,N1,N2,N3,N4,N5,N6,,,,,,,,,,
1,26,44,3,2,0,0,,,,,,,,,,
2,17,10,21,19,7,1,,,,,,,,,,
3,5,5,30,32,18,7,,,,,,,,,,
4,11,1,5,6,33,17,,,,,,,,,,
5,1,0,1,1,2,35,,,,,,,,,,
